,asteroid,a,b,c,var
0,./data/large_comets/90000384.csv,3.822431913428221e-06,-0.09663913802389731,53.24735856354621,z
1,./data/large_comets/90000384.csv,-2.89558417811665e-05,-0.3843227108715687,603.1858264566515,y
2,./data/large_comets/90000384.csv,0.00019499789285726875,-0.03264753784429093,-1691.4824812532186,x
3,./data/large_comets/90000391.csv,8.450457770382784e-05,-0.1603816999679905,-74.60185342676219,z
4,./data/large_comets/90000391.csv,0.0002184407645905476,-1.1534526327934815,304.43090372045947,y
5,./data/large_comets/90000391.csv,0.0004940762075572832,-0.25340492645330354,-897.6594320021889,x
6,./data/large_comets/90000942.csv,3.9982174555819686e-05,-0.8519557294581718,582.0360530060098,z
7,./data/large_comets/90000942.csv,0.00027822573931092005,-1.0845633528556209,1047.1405592771212,y
8,./data/large_comets/90000942.csv,-0.0002982531556068313,0.6994002290093686,-835.9084703362888,x
9,./data/large_comets/90002027.csv,-0.00039358574715118473,1.5282711900095083,-1679.4607642830392,z
10,./data/large_comets/90002027.csv,-4.12271480211817e-05,1.036459637443644,-2860.155379033529,y
11,./data/large_comets/90002027.csv,4.122493160561508e-06,-0.2065582840936702,603.0191315016659,x
12,./data/large_comets/DES=+1001647.csv,3.862003657469609e-05,-0.02599428601615237,-701.0428716734541,z
13,./data/large_comets/DES=+1001647.csv,8.277425447981448e-05,-0.7485557865616229,-158.02563995587994,y
14,./data/large_comets/DES=+1001647.csv,8.410457598588744e-05,0.2788125866565185,-2173.4102868312875,x
15,./data/large_comets/DES=+1003189.csv,-3.62213771917225e-06,0.00016813056489671527,930.2493085799036,z
16,./data/large_comets/DES=+1003189.csv,9.018165510600658e-06,-0.049019311047718984,-2117.9586205573914,y
17,./data/large_comets/DES=+1003189.csv,1.7520048291429735e-05,0.4088850186592867,-5263.275354176046,x
18,DES=+2000001.csv,-0.00027908180576211006,0.3534292604205152,-27.428377041797333,z
19,DES=+2000001.csv,-0.0028785198257498773,0.6107492846239848,365.05679085791195,y
20,DES=+2000001.csv,0.0010323935761257588,-1.8155127612742596,209.9307277867697,x
21,DES=+2000002.csv,0.0016237341620095303,-1.0177893015832375,-29.208395214109128,z
22,DES=+2000002.csv,-0.002103658692238053,1.5364372334258003,-11.632902660661522,y
23,DES=+2000002.csv,-0.002048364560411746,-0.5423052200601711,452.4038534569134,x
24,DES=+2000003.csv,-0.00043168092249884217,0.2141757958006034,83.91435863600036,z
25,DES=+2000003.csv,0.0017745520140149788,-1.0859999667200948,-303.6880914776116,y
26,DES=+2000003.csv,0.0007382909076577507,0.8210423769485761,-382.19077299950555,x
27,DES=+2000004.csv,-0.00048712365299123016,0.1911964271659188,22.77443543168727,z
28,DES=+2000004.csv,5.2255662842393136e-05,-1.626984361451056,270.4832161306715,y
29,DES=+2000004.csv,0.003997074881102225,-1.1696354154625463,-254.73883719174444,x
30,DES=+2000005.csv,7.500969446332178e-05,0.13284547581139095,-32.996951171018736,z
31,DES=+2000005.csv,-0.0033853370193315303,0.09590498687911335,335.00868381375227,y
