,asteroid,X,Y,Z
155,DES=+2000495.csv,-98936849.9224306,-392212840.3396912,15048562.00916754
156,DES=+2000495.csv,-97458870.92010625,-392434049.6759566,15064156.29187877
157,DES=+2000495.csv,-95979435.26355304,-392649390.3444725,15079525.30452059
158,DES=+2000495.csv,-94498563.54634827,-392858852.835297,15094668.57664064
159,DES=+2000495.csv,-93016276.42308377,-393062427.6859313,15109585.63936728
160,DES=+2000495.csv,-91532594.6094391,-393260105.4816311,15124276.02541696
161,DES=+2000495.csv,-90047538.8822623,-393451876.8557134,15138739.26910183
162,DES=+2000495.csv,-88561130.0796567,-393637732.4898635,15152974.90633973
163,DES=+2000495.csv,-87073389.10107382,-393817663.1144417,15166982.47466373
164,DES=+2000495.csv,-85584336.9074115,-393991659.5087922,15180761.51323378
165,DES=+2000495.csv,-84093994.52111638,-394159712.5015535,15194311.5628476
166,DES=+2000495.csv,-82602383.02629016,-394321812.9709736,15207632.16595347
167,DES=+2000495.csv,-81109523.56879893,-394477951.8452265,15220722.86666243
168,DES=+2000495.csv,-79615437.35638463,-394628120.1027345,15233583.21076114
169,DES=+2000495.csv,-78120145.65877898,-394772308.7724928,15246212.74572504
170,DES=+2000495.csv,-76623669.80781808,-394910508.9343997,15258611.02073202
171,DES=+2000495.csv,-75126031.19755863,-395042711.7195894,15270777.5866756
172,DES=+2000495.csv,-73627251.28439428,-395168908.3107695,15282711.99617901
173,DES=+2000495.csv,-72127351.5871731,-395289089.9425635,15294413.80360898
174,DES=+2000495.csv,-70626353.68731394,-395403247.9018552,15305882.56508982
175,DES=+2000495.csv,-69124279.22892384,-395511373.5281388,15317117.83851735
176,DES=+2000495.csv,-67621149.91891454,-395613458.2138725,15328119.18357353
177,DES=+2000495.csv,-66116987.52711874,-395709493.4048349,15338886.16174057
178,DES=+2000495.csv,-64611813.88640559,-395799470.6004868,15349418.33631547
179,DES=+2000495.csv,-63105650.89279579,-395883381.3543351,15359715.27242456
180,DES=+2000495.csv,-61598520.50557566,-395961217.274302,15369776.5370383
181,DES=+2000495.csv,-60090444.74741052,-396032970.0230958,15379601.69898574
182,DES=+2000495.csv,-58581445.7044571,-396098631.3185869,15389190.32896951
183,DES=+2000495.csv,-57071545.52647499,-396158192.9341872,15398541.99958099
184,DES=+2000495.csv,-55560766.42693705,-396211646.699232,15407656.28531487
185,DES=+2000495.csv,-54049130.68313871,-396258984.4993668,15416532.76258466
186,DES=+2000495.csv,-52536660.63630626,-396300198.2769358,15425171.00973776
187,DES=+2000495.csv,-51023378.69170387,-396335280.0313762,15433570.6070706
188,DES=+2000495.csv,-49509307.31873946,-396364221.8196146,15441731.13684432
189,DES=+2000495.csv,-47994469.05106953,-396387015.7564664,15449652.18330017
190,DES=+2000495.csv,-46478886.48670177,-396403654.0150414,15457333.33267485
191,DES=+2000495.csv,-44962582.28809833,-396414128.8271495,15464774.1732164
192,DES=+2000495.csv,-43445579.18227562,-396418432.4837131,15471974.29519996
193,DES=+2000495.csv,-41927899.96090381,-396416557.3351821,15478933.29094329
194,DES=+2000495.csv,-40409567.48040468,-396408495.7919521,15485650.75482292
195,DES=+2000495.csv,-38890604.66204793,-396394240.3247882,15492126.28328995
196,DES=+2000495.csv,-37371034.49204587,-396373783.4652515,15498359.47488594
197,DES=+2000495.csv,-35850880.02164646,-396347117.8061301,15504349.93025915
198,DES=+2000495.csv,-34330164.36722457,-396314236.0018754,15510097.25218058
199,DES=+2000495.csv,-32808910.71037115,-396275130.7690404,15515601.04555942
200,DES=+2000495.csv,-31287142.29798054,-396229794.886726,15520860.91746001
201,DES=+2000495.csv,-29764882.44233538,-396178221.1970291,15525876.47711715
202,DES=+2000495.csv,-28242154.52118897,-396120402.6054975,15530647.33595212
203,DES=+2000495.csv,-26718981.97784481,-396056332.0815888,15535173.10758868
204,DES=+2000495.csv,-25195388.32123291,-395986002.6591358,15539453.4078684
205,DES=+2000495.csv,-23671397.12598263,-395909407.4368151,15543487.85486649
206,DES=+2000495.csv,-22147032.03249088,-395826539.5786248,15547276.06890669
207,DES=+2000495.csv,-20622316.7469859,-395737392.3143634,15550817.67257613
208,DES=+2000495.csv,-19097275.04158536,-395641958.940118,15554112.29074003
209,DES=+2000495.csv,-17571930.7543477,-395540232.8187553,15557159.55055569
210,DES=+2000495.csv,-16046307.78931617,-395432207.3804199,15559959.08148606
211,DES=+2000495.csv,-14520430.11655423,-395317876.1230336,15562510.51531285
212,DES=+2000495.csv,-12994321.77217096,-395197232.6128019,15564813.48614877
