,X,Y,Z
173,708950213.8692032,-247162302.1635277,-132542412.4123891
174,618336569.9995788,-273810615.06212,-225218209.6568816
175,493739541.4040644,-514812445.9110152,-240195027.8615415
176,523837648.3235793,-484187787.6503567,231897933.5589364
177,559335851.9698822,-518874084.0507908,6884510.333241552
178,677827066.5763559,-255288164.0863562,-268250537.8347663
179,715260361.0688257,-138431589.672234,-167649968.3494834
180,526915893.7140933,-481618141.4580612,39849278.47276288
181,676608513.6588346,-290304088.4526046,-5058275.98151131
182,672040719.489635,-218408272.3943584,-158123444.0412119
183,725640721.0934542,-260442180.3530715,77751725.25589012
184,756786087.8477355,-118680136.2497962,86292741.92458835
185,694400650.5705429,-228621226.4519496,-173538065.6268261
186,569216816.9221878,-184196342.3786058,-337908344.0910234
187,743082063.0499603,-13984818.20662826,192125245.1803203
188,565482626.134397,-373373015.7967438,-320334806.1059057
189,453701495.4603255,-606127082.7483916,-181711252.9838123
190,473296238.3708366,-437117834.72649,356978986.8841646
191,354133251.0117925,-655530867.8434287,-18108762.92345059
192,550885987.1930867,-563127660.5539936,71353702.40856281
193,551479004.340074,-496964571.710246,111183055.5913632
194,509927514.258632,-461698277.1530982,90414767.76671006
195,572494806.941998,-477225757.9404011,-31753037.94176391
196,581957003.3315327,-350486401.2437239,102065044.4314305
197,660409213.6303697,-237667891.563424,114645547.8786382
198,701012242.1528137,-337511011.8126465,-181281767.2806087
199,650733449.2610935,-282048217.1825072,-274749427.5624652
200,506930493.7533563,-402560479.034761,-302489939.2370186
201,530051808.4428712,-603321344.5659685,120577231.7262447
202,314275075.5748305,-580196880.2823874,-202833914.9971566
203,557126709.4574902,-534935251.5386778,121429108.6351633
204,610183725.0709006,-451603512.2211856,-153006590.4174883
205,569775379.7101963,-367745560.0080968,-220511252.1398823
206,770352585.7403597,-230317801.5667489,-85620572.63076094
207,545868338.2970097,-420361677.5501556,-270348637.9190698
208,716342684.9639091,-272376568.9800014,-151772843.9150663
209,624958283.3057444,-370830812.6552308,-4916486.830538124
210,662582797.8297883,-222066004.2714834,-9604017.866387991
211,615369516.6685792,-358831444.051079,114375467.5459415
212,645238347.8929981,-147572195.3762138,259415994.9662404
213,657197460.5487349,-19695498.3138278,-357862750.377508
214,535414979.4866303,-285895728.6545559,-324019631.1069651
215,530777457.8269753,-477328953.4590863,-189939436.6439507
216,402734199.9445759,-628163946.3265852,-222149476.0352723
217,621364131.7042449,-386973833.5653923,-244044231.9810146
218,424115800.5434358,-460180877.1232622,-148615711.0003696
219,649073881.6614017,-542808971.1038569,45414086.42344874
220,641143220.7129836,-454318910.9506018,201807020.8616133
221,669770698.2647988,-342458035.917768,-172316706.1454973
222,654323660.3524613,-342013069.0791343,-175424672.2163852
223,708683234.2745854,-304552681.0194097,-115773872.2066771
224,519619878.3691533,-582376127.216235,-159379201.1830492
225,737582380.4745854,-222665436.2397054,-156258234.7873435
226,499682072.6363431,-384709302.0396323,126366241.0804587
227,741740310.6606092,-151173356.983845,329640081.7706373
228,680066425.9041865,-193465327.6840048,-228554565.7342905
229,737891154.8957365,-254895815.6407514,-90135655.89179838
230,598465193.9457659,-510145255.6212494,76834405.93425813
231,555680874.8608861,-560452902.8478925,-89734641.8687731
232,712859945.7603799,-285189323.9467745,-214466300.9075364
233,637216263.0916886,-43370523.99339873,-344952774.9001386
234,731288147.2576594,-225792181.9531023,-85008642.84305356
235,697527058.920832,-421366824.6095573,131187521.7385098
236,448195392.2785589,-602232898.3108666,16973580.6076248
237,696029014.0921617,-275363549.0196078,177018790.3522046
238,585935137.6007919,-481354003.738048,174677916.4752663
239,649562518.7761316,-156342979.5299167,-273830496.1225799
240,538265999.2154756,-394951731.9927366,-353015284.07472
241,640042009.9288814,-188332558.3883201,193949722.5959638
